plot,xRel,yRel,D,WD,H
NB1,16,26,14.4830998213625,0.468710884353741,8
NB1,19.3,21.1,21.1676074312221,0.642510139437562,23
NB1,19.8,24.7,15.278874536822,0.524666666666667,18
NB1,16.6,29.2,47.7464829275686,0.404821666666667,34
NB1,16.6,30.7,10.0267614147894,0.836,11
NB1,17.1,31,76.3943726841098,0.642510139437562,37
NB1,18.6,30,43.9267642933631,0.665168724279836,32
NB1,18.6,32.2,21.0084524881302,0.578086944444444,24
NB1,9.9,39.8,21.6450722604978,0.5796,25
NB1,9.9,42.3,11.3000009595246,0.642510139437562,17
NB1,0.5,42.8,38.3563412851468,0.88,30
NB1,1,42.5,16.3929591384652,0.644092948717949,18
NB1,2,44.7,11.7774657888003,0.802,13
NB1,0,47.4,15.4380294799138,0.644092948717949,17
NB1,4.2,50.2,22.759156862141,0.572,17
NB1,4.3,50.4,15.278874536822,0.6625,17
NB1,7.6,47,10.3450713009732,0.86,6
NB1,11,44.3,14.9605646506382,0.642510139437562,19
NB1,12.3,45.6,25.4647908947033,0.5796,26
NB1,11.6,49,20.3718327157626,0.6815,24
NB1,19.2,46.5,10.5042262440651,0.642510139437562,15
NB1,17,48.1,19.735212943395,0.548333333333333,22
NB1,19.3,51,10.663381187157,0.57,14
NB1,18.1,56,10.0267614147894,0.642510139437562,12
NB1,19,59.2,29.1253545858168,0.642510139437562,24
NB1,15.4,57.3,10.5042262440651,0.642510139437562,14
NB1,14.9,58.1,11.4591559026165,0.642510139437562,16
NB1,13,57.8,42.9718346348117,0.76,30
NB1,10.2,57,10.5042262440651,0.86,13
NB1,9.6,54.7,14.9605646506382,0.642510139437562,16
NB1,6.8,54.1,19.8943678864869,0.642510139437562,25
NB1,6.4,59.3,10.8225361302489,0.578086944444444,11
NB1,7.1,59.6,10.1859163578813,0.5796,16
NB1,8.3,59.9,31.3535237891034,0.642510139437562,31
NB1,1.3,60.8,32.4676083907467,0.5796,33
NB1,1.1,60.8,15.7563393660976,0.642510139437562,16
NB1,1.3,64.8,13.0507053335354,0.568211290322581,22
NB1,6.1,67,21.6450722604978,0.568211290322581,26
NB1,6.4,66.5,12.7323954473516,0.5796,27
NB1,9.4,66.2,20.6901426019464,0.642510139437562,21
NB1,8.5,60.7,15.278874536822,0.578086944444444,20
NB1,10.9,62.5,18.1436635124761,0.642510139437562,21
NB1,13.2,63.5,11.6183108457084,0.642510139437562,21
NB1,14.4,62.4,28.966199642725,0.694512820512821,26
NB1,15.3,63,27.0563403256222,0.31,33
NB1,15.3,64.1,45.2000038380983,0.76,32
NB1,15.3,63,14.3239448782706,0.508,6
NB1,18.3,61,29.9211293012763,0.576692307692308,33
NB1,19.9,61.7,10.1859163578813,0.7646,12
NB1,15.3,67.2,10.1859163578813,0.750488913690476,18
NB1,17.5,68.2,10.9816910733408,0.88,17.5
NB1,19.6,70.5,11.9366207318922,0.534375,19
NB1,19.6,77.6,36.446481968044,0.578086944444444,31
NB1,13.4,71.6,27.374650211806,0.591037654320988,29
NB1,10.7,75.3,24.8281711223357,0.5638125,31
NB1,9,77.7,21.9633821466816,0.8,21
NB1,8.8,77.4,70.028174960434,0.5912,41
NB1,6.2,74.4,24.9873260654276,0.393621212121212,27
NB1,4.4,73,26.8971853825303,0.568211290322581,23
NB1,3,70.2,75.4394430255584,0.642510139437562,32
NB1,1.8,71.2,11.4591559026165,0.640125,14
NB1,4.3,77.6,18.1436635124761,0.88,23
NB1,4.3,77.4,13.3690152197192,0.409,26
NB1,3.1,77.4,39.3112709436982,0.642510139437562,29
NB1,9.2,79,10.1859163578813,0.578086944444444,18
NB1,1.7,81.1,19.0985931710274,0.8,21.5
NB1,0.5,83,28.4887348134493,0.393621212121212,23
NB1,0.5,89.1,13.0507053335354,0.578086944444444,17
NB1,5.8,87.7,21.0084524881302,0.642510139437562,22
NB1,6.4,88,13.3690152197192,0.642510139437562,19
NB1,8.1,85.2,26.5788754963465,0.579127777777778,22
NB1,10.5,85.3,10.5042262440651,0.642510139437562,11
NB1,10.6,83.4,25.6239458377952,0.5796,18
NB1,14.8,84.6,16.2338041953733,0.642510139437562,20.5
NB1,17.9,85.2,17.1887338539247,0.539081638418079,23
NB1,18.8,87.3,11.1408460164327,0.687841171749599,15
