Bixaceae = Malvales
Blakeaceae = Melastomataceae = Myrtales
Blandfordiaceae = Asparagales
Blattiaceae = Lythraceae = Myrtales
Blechnaceae = eupolypod II
Blepharocaryaceae = Anacardiaceae = Sapindales
Blitaceae = Amaranthaceae = Caryophyllales
Blyxaceae = Hydrocharitaceae = Alismatales
Boerlagellaceae = Sapotaceae = Ericales
Bogutchanthaceae = fossil ??"Hamamelidales"
Bolbitidaceae = Dryopteridaceae = Polypodiales-eupolypod I
Bolivaraceae = Oleaceae = Lamiales
Bombacaceae = Malvaceae = Malvales
Bonnetiaceae = Malpighiales
Bontiaceae = Scrophulariaceae = Lamiales
Boopidaceae = Calyceraceae = Asterales
Boraginaceae = Boraginales
Borassaceae = Arecaceae = Arecales
Boroniaceae = Rutaceae = Sapindales
Borthwickiaceae = Resedaceae = Brassicales
Boryaceae = Asparagales
Botrychiaceae = Ophioglossaceae = Ophioglossales
Botryodendraceae = Araliaceae = Apiales
Bougainvilleaceae = Nyctaginaceae = Caryophyllales
Boweniaceae = Zamiaceae = Cycadales
Brassicaceae = Brassicales
Brachycaulaceae = Saxifragaceae = Saxifragales
Bracteocarpaceae = Podocarpaceae = Cupressales
Bretschneideraceae = Akaniaceae = Brassicales
Brexiaceae = Celastraceae = Celastrales
Bromaceae = Poaceae = Poales
Bromeliaceae = Poales
Browalliaceae = Solanaceae = Solanales
Brownlowiaceae = Malvaceae = Malvales
Brunelliaceae = Oxalidales
Bruniaceae = Bruniales
Brunoniaceae = Goodeniaceae = Asterales
Brunsvigiaceae = Amaryllidaceae = Asparagales
Bryoniaceae = Cucurbitaceae = Cucurbitales
Buchneraceae = Orobanchaceae = Lamiales
Bucidaceae = Combretaceae = Myrtales
Buddlejaceae = Scrophulariaceae = Lamiales
Buglossaceae = Boraginaceae = Boraginales
Bulbocodiaceae = Colchicaceae = Liliales
Bumeliaceae = Sapotaceae = Ericales
Bupleuraceae = Apiaceae = Apiales
Burchardiaceae = Colchicaceae = Liliales
Burmanniaceae = Dioscoreales
Burseraceae = Sapindales
Butneriaceae = Calycanthaceae = Laurales
Butomaceae = Alismatales
Buxaceae = Buxales
Byblidaceae = Lamiales
Byttneriaceae = Malvaceae = Malvales

Cabombaceae = Nymphaeales
Cacaoaceae = Malvaceae = Malvales
Cactaceae = Caryophyllales
Caesalpiniaceae = Fabaceae = Fabales
