order,famAPG,famSyn
Myrtales,Blakeaceae,Melastomataceae
Asparagales,Blandfordiaceae,Blandfordiaceae
Myrtales,Blattiaceae,Lythraceae
eupolypod II,Blechnaceae,Blechnaceae
Sapindales,Blepharocaryaceae,Anacardiaceae
Caryophyllales,Blitaceae,Amaranthaceae
Alismatales,Blyxaceae,Hydrocharitaceae
Ericales,Boerlagellaceae,Sapotaceae
"fossil ??""Hamamelidales""",Bogutchanthaceae,Bogutchanthaceae
Polypodiales-eupolypod I,Bolbitidaceae,Dryopteridaceae
Lamiales,Bolivaraceae,Oleaceae
Malvales,Bombacaceae,Malvaceae
Malpighiales,Bonnetiaceae,Bonnetiaceae
Lamiales,Bontiaceae,Scrophulariaceae
Asterales,Boopidaceae,Calyceraceae
Boraginales,Boraginaceae,Boraginaceae
Arecales,Borassaceae,Arecaceae
Sapindales,Boroniaceae,Rutaceae
Brassicales,Borthwickiaceae,Resedaceae
Asparagales,Boryaceae,Boryaceae
Ophioglossales,Botrychiaceae,Ophioglossaceae
Apiales,Botryodendraceae,Araliaceae
Caryophyllales,Bougainvilleaceae,Nyctaginaceae
Cycadales,Boweniaceae,Zamiaceae
Brassicales,Brassicaceae,Brassicaceae
Saxifragales,Brachycaulaceae,Saxifragaceae
Cupressales,Bracteocarpaceae,Podocarpaceae
Brassicales,Bretschneideraceae,Akaniaceae
Celastrales,Brexiaceae,Celastraceae
Poales,Bromaceae,Poaceae
Poales,Bromeliaceae,Bromeliaceae
Solanales,Browalliaceae,Solanaceae
Malvales,Brownlowiaceae,Malvaceae
Oxalidales,Brunelliaceae,Brunelliaceae
Bruniales,Bruniaceae,Bruniaceae
Asterales,Brunoniaceae,Goodeniaceae
Asparagales,Brunsvigiaceae,Amaryllidaceae
Cucurbitales,Bryoniaceae,Cucurbitaceae
Lamiales,Buchneraceae,Orobanchaceae
Myrtales,Bucidaceae,Combretaceae
Lamiales,Buddlejaceae,Scrophulariaceae
Boraginales,Buglossaceae,Boraginaceae
Liliales,Bulbocodiaceae,Colchicaceae
Ericales,Bumeliaceae,Sapotaceae
Apiales,Bupleuraceae,Apiaceae
Liliales,Burchardiaceae,Colchicaceae
Dioscoreales,Burmanniaceae,Burmanniaceae
Sapindales,Burseraceae,Burseraceae
Laurales,Butneriaceae,Calycanthaceae
Alismatales,Butomaceae,Butomaceae
Buxales,Buxaceae,Buxaceae
Lamiales,Byblidaceae,Byblidaceae
Malvales,Byttneriaceae,Malvaceae
Nymphaeales,Cabombaceae,Cabombaceae
Malvales,Cacaoaceae,Malvaceae
Caryophyllales,Cactaceae,Cactaceae
Fabales,Caesalpiniaceae,Fabaceae
Alismatales,Caladiaceae,Araceae
Arecales,Calamaceae,Arecaceae
Lamiales,Calceolariaceae,Calceolariaceae
Arecales,Calectasiaceae,Dasypogonaceae
Asterales,Calendulaceae,Asteraceae
Alismatales,Callaceae,Araceae
Oxalidales,Callicomaceae,Cunoniaceae
Caryophyllales,Calligonaceae,Polygonaceae
Cupressales,Callitridaceae,Cupressaceae
Lamiales,Callitrichaceae,Plantaginaceae
Liliales,Calochortaceae,Liliaceae
Malpighiales,Calophyllaceae,Calophyllaceae
Ranunculales,Calthaceae,Ranunculaceae
Laurales,Calycanthaceae,Calycanthaceae
Asterales,Calyceraceae,Calyceraceae
Malpighiales,Cambogiaceae,Clusiaceae
Ericales,Camelliaceae,Theaceae
Asterales,Campanulaceae,Campanulaceae
Cornales,Camptothecaceae,Nyssaceae
Liliales,Campynemataceae,Campynemataceae
Fagales,Canacomyricaceae,Myricaceae
Canellales,Canellaceae,Canellaceae
Rosales,Cannabaceae,Cannabaceae
Zingiberales,Cannaceae,Cannaceae
Santalales,Canopodaceae,Santalaceae
Celastrales,Canotiaceae,Celastraceae
Santalales,Cansjeraceae,Opiliaceae
Brassicales,Capparaceae,Capparaceae
Lamiales,Caprariaceae,Scrophulariaceae
Dipsacales,Caprifoliaceae,Caprifoliaceae
Aquifoliales,Cardiopteridaceae,Cardiopteridaceae
Asterales,Carduaceae,Asteraceae
Brassicales,Caricaceae,Caricaceae
Gentianales,Carissaceae,Apocynaceae
Lamiales,Carlemanniaceae,Carlemanniaceae
Asterales,Carlinaceae,Asteraceae
Fagales,Carpinaceae,Betulaceae
Asterales,Carpodetaceae,Rousseaceae
Commelinales,Cartonemataceae,Commelinaceae
Malpighiales,Caryocaraceae,Caryocaraceae
Caryophyllales,Caryophyllaceae,Caryophyllaceae
Fabales,Cassiaceae,Fabaceae
Malpighiales,Cassipoureaceae,Rhizophoraceae
Laurales,Cassythaceae,Lauraceae
Fagales,Castaneaceae,Fagaceae
Sapindales,Castelaceae,Simaroubaceae
Fagales,Casuarinaceae,Casuarinaceae
Gentianales,Catesbaeaceae,Rubiaceae
Santalales,Cathedraceae,Aptandraceae
Apiales,Caucaulidaceae,Apiaceae
Rosales,Cecropiaceae,Urticaceae
Pinales,Cedraceae,Pinaceae
Sapindales,Cedrelaceae,Meliaceae
Celastrales,Celastraceae,Celastraceae
Caryophyllales,Celosiaceae,Amaranthaceae
Rosales,Celtidaceae,Cannabaceae
Asterales,Centaureaceae,Asteraceae
Poales,Centrolepidaceae,Restionaceae
Malpighiales,Centroplacaceae,Centroplacaceae
Asparagales,Cepaceae,Amaryllidaceae
Gentianales,Cephalanthaceae,Rubiaceae
Oxalidales,Cephalotaceae,Cephalotaceae
Cupressales,Cephalotaxaceae,Taxaceae
Caryophyllales,Cerastiaceae,Caryophyllaceae
Fabales,Ceratoniaceae,Fabaceae
Ceratophyllales,Ceratophyllaceae,Ceratophyllaceae
Polypodiales,Ceratopteridaceae,Pteridaceae
Gentianales,Cerberaceae,Apocynaceae
Saxifragales,Cercidiphyllaceae,Cercidiphyllaceae
Rosales,Cercocarpaceae,Rosaceae
Saxifragales,Cercodiaceae,Haloragaceae
Caryophyllales,Cereaceae,Cactaceae
Boraginales,Cerinthaceae,Boraginaceae
Arecales,Ceroxylaceae,Arecaceae
Santalales,Cervantesiaceae,Santalaceae
Solanales,Cestraceae,Solanaceae
Cornales,Cevalliaceae,Loasaceae
Poales,Chaeturaceae,Poaceae
Malpighiales,Chailletiaceae,Dichapetalaceae
Arecales,Chamaedoraceae,Arecaceae
Rosales,Chamaemoraceae,Rosaceae
Myrtales,Chamelauciaceae,Myrtaceae
Santalales,Chaunochitonaceae,Aptandraceae
Polypodiales,Cheilanthaceae,Pteridaceae
Malpighiales,Cheilosaceae,Euphorbiaceae
Gleicheniales,Cheiropleuriaceae,Dipteridaceae
Ranunculales,Chelidoniaceae,Papaveraceae
Lamiales,Chelonaceae,Plantaginaceae
Caryophyllales,Chenopodiaceae,Amaranthaceae
Laurales,Chimonanthaceae,Calycanthaceae
Celastrales,Chingithamnaceae,Celastraceae
Liliales,Chionographidaceae,Melanthiaceae
Malvales,Chiranthodendraceae,Malvaceae
Gentianales,Chironiaceae,Gentianaceae
Malvales,Chlaenaceae,Sarcolaenaceae
Lamiales,Chloanthaceae,Lamiaceae
Chloranthales,Chloranthaceae,Chloranthaceae
Poales,Chloridaceae,Poaceae
Asparagales,Chlorogalaceae,Asparagaceae
Marattiales,Christenseniaceae,Marattiaceae
Malpighiales,Chrysobalanaceae,Chrysobalanaceae
Saxifragales,Chrysospleniaceae,Saxifragaceae
Cyatheales,Cibotiaceae,Cibotiaceae
Fabales,Ciceraceae,Fabaceae
Asterales,Cichoriaceae,Asteraceae
Ranunculales,Cimicifugaceae,Ranunculaceae
Gentianales,Cinchoniaceae,Rubiaceae
Myrtales,Circaeaceae,Onagraceae
Ranunculales,Circaeasteraceae,Circaeasteraceae
Vitales,Cissaceae,Vitaceae
Malvales,Cistaceae,Cistaceae
Sapindales,Citraceae,Rutaceae
Ranunculales,Clematidaceae,Ranunculaceae
Brassicales,Cleomaceae,Cleomaceae
Ericales,Clethraceae,Clethraceae
Malpighiales,Clusiaceae,Clusiaceae
Sapindales,Cneoraceae,Rutaceae
Oxalidales,Cnestidaceae,Connaraceae
Asterales,Cnicaceae,Asteraceae
Ericales,Cobaeaceae,Polemoniaceae
Malvales,Cochlospermaceae,Bixaceae
Boraginales,Codonaceae,Codonaceae
Arecales,Cocosaceae,Arecaceae
Poales,Coeleanthaceae,Poaceae
Gentianales,Coffeaceae,Rubiaceae
Liliales,Colchicaceae,Colchicaceae
Boraginales,Coldeniaceae,Cordiaceae
Rosales,Coleogynaceae,Rosaceae
Alismatales,Colocasiaceae,Araceae
Bruniales,Columelliaceae,Columelliaceae
Santalales,Comandraceae,Santalaceae
Myrtales,Combretaceae,Combretaceae
Commelinales,Commelinaceae,Commelinaceae
Sapindales,Comocladiaceae,Anacardiaceae
Asterales,Compositae,Compositae
Liliales,Compsoaceae,Calochortoideae
Asparagales,Conantheraceae,Tecophilaeaceae
Oxalidales,Connaraceae,Connaraceae
Commelinales,Conostylidaceae,Haemodoraceae
Asparagales,Convallariaceae,Asparagaceae
Solanales,Convolvulaceae,Convolvulaceae
Caryophyllales,Corbichoniaceae,Lophiocarpaceae
Boraginales,Cordiaceae,Cordiaceae
Asterales,Coreopsidaceae,Asteraceae
Apiales,Coriandraceae,Apiaceae
Cucurbitales,Coriariaceae,Coriariaceae
Ericales,Coridaceae,Primulaceae
Caryophyllales,Corispermaceae,Amaranthaceae
Cornales,Cornaceae,Cornaceae
Asterales,Corokiaceae,Argophyllaceae
Fabales,Coronillaceae,Fabaceae
Sapindales,Correaceae,Rutaceae
Caryophyllales,Corrigiolaceae,Caryophyllaceae
Liliales,Corsiaceae,Corsiaceae
Ranunculales,Corydalaceae,Papaveraceae
Fagales,Corylaceae,Betulaceae
Cucurbitales,Corynocarpaceae,Corynocarpaceae
Arecales,Coryphaceae,Arecaceae
Zingiberales,Costaceae,Costaceae
Saxifragales,Cotyledonaceae,Crassulaceae
Santalales,Coulaceae,Coulaceae
Gentianales,Coutariaceae,Rubiaceae
Gentianales,Coutoubeaceae,Gentianaceae
Saxifragales,Crassulaceae,Crassulaceae
Lamiales,Crescentiaceae,Bignoniaceae
Solanales,Cressaceae,Convolvulaceae
Asparagales,Crinaceae,Amaryllidaceae
Asparagales,Crocaceae,Iridaceae
Pandanales,Croomiaceae,Stemonaceae
Crossosomatales,Crossosomataceae,Crossosomataceae
Malpighiales,Crotonaceae,Euphorbiaceae
Brassicales,Cruciferae,Cruciferae
Malpighiales,Cryptaceae,Elatinaceae
Myrtales,Crypteroniaceae,Crypteroniaceae
Alismatales,Cryptocorynaceae,Araceae
Polypodiales,Cryptogammaceae,Pteridaceae
